,2024/9/16,,2024/9/17,,2024/9/19,,2024/9/20,,2024/9/23,,2024/9/24,,2024/9/26,,2024/9/27,,2024/9/30,,2024/10/1,,2024/10/3,,2024/10/4,,2024/10/7,,2024/10/8,,2024/10/10,,2024/10/11,,2024/10/14,,2024/10/15,,2024/10/17,,2024/10/18,,2024/10/21,,2024/10/22,,2024/10/24,,2024/10/25,,2024/10/28,,2024/10/29,,2024/10/31,,2024/11/1,,2024/11/4,,2024/11/5,,2024/11/7,,2024/11/8,,2024/11/11,,2024/11/12,,2024/11/14,,2024/11/15,,2024/11/18,,2024/11/19,,2024/11/21,,2024/11/22,,2024/11/25,,2024/11/26,,2024/11/28,,2024/11/29,,2024/12/2,,2024/12/3,,2024/12/5,,2024/12/6,,2024/12/9,,2024/12/10,,2024/12/12,,2024/12/13,,2024/12/16,,2024/12/17,,2024/12/19,,2024/12/20,,2024/12/23,,2024/12/24,,2024/12/26,,2024/12/27,,2025/1/6,,2025/1/7,,2025/1/9,,2025/1/10,,2025/1/13,,2025/1/14,,2025/1/16,,2025/1/17,,2025/1/20,,2025/1/21,,2025/1/23,,2025/1/24,,2025/1/27,,2025/1/28,,2025/1/30,,2025/1/31,,2025/2/3,,2025/2/4,,2025/2/6,,2025/2/7,,2025/2/10,,2025/2/11,,2025/2/13,,2025/2/14,,2025/2/17,,2025/2/18,,2025/2/20,,2025/2/21,,2025/2/24,,2025/2/25,,2025/2/27,,2025/2/28,,2025/3/3,,2025/3/4,,2025/3/6,,2025/3/7,,2025/3/10,,2025/3/11,,2025/3/13,,2025/3/14,,2025/3/17,,2025/3/18,,2025/3/20,,2025/3/21,,2025/3/24,,2025/3/25,,2025/3/27,,2025/3/28,,2025/4/7,,2025/4/8,,2025/4/10,,2025/4/11,,2025/4/14,,2025/4/15,,2025/4/17,,2025/4/18,,2025/4/21,,2025/4/22,,2025/4/24,,2025/4/25,,2025/4/28,,2025/4/29,,2025/5/1,,2025/5/5,,2025/5/6,,2025/5/8,,2025/5/9,,2025/5/12,,2025/5/13,,2025/5/15,,2025/5/16,
âéêÏê^éı,,,,,,,,-77.8 ,,,-45.7 ,,,,,,,,,,-32.0 ,,,,,-11.3 ,,,,,,,,,,64.0 ,,,,,,67.0 ,,,-44.3 ,,,,,,,,,,,,,,,-19.4 ,,-18.7 ,,,,,,,-56.8 ,,,,,,,,,-22.2 ,,,,,,,,,,,,,,,,,,-49.9 ,,,,,,,,,4.2 ,,,,,-21.0 ,,,,-12.6 ,,,,,,,,,,,,,,-57.7 ,,,,,,,,,,,,,,-49.3 ,,,,,,,,,,,,,,27.5 ,,,,,8.1 ,,,,,,,,,-67.8 ,,,,,,,,,,,,,,,,,9.5 ,,,,,,,,,,58.2 ,,,,,,,,,,-28.5 ,,,,,,,,,-25.7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
êêå¥ñæìﬁ,,,,,-67.9 ,,,,,,5.7 ,,,,,,,,59.2 ,,,,,,,,-72.0 ,,,,,,,,,,,,,,10.1 ,,,,,,,,,,,82.4 ,,,,,59.2 ,,,,,,,,,,,-64.2 ,,,,,,,,,,,,,0.8 ,,,,,,,,,,,,,,77.9 ,,,,73.2 ,,,,,,,,-52.2 ,,,,,,,,56.0 ,,,,,,-49.8 ,,,,,,,,13.2 ,,,,,,,,10.2 ,,,,,,,,,,,,30.6 ,,,,1.9 ,,,,,,,,54.2 ,,,,,,,,,,,,,,-48.8 ,,,,-15.9 ,,,,,,,,57.3 ,,,,,,-20.1 ,,,,,,,,,,-28.6 ,,,,,,,,,,,,,-51.5 ,,,,,11.8 ,,,,,,,,,,3.9 ,,,,,,,,70.3 ,,,,-20.7 ,,,,-24.8 ,,,,-25.0 ,,,,-46.7 ,,,,,,,
à…íBéÈó¢é—,,,62.5 ,,,,,,,,,,,14.0 ,,,,27.4 ,,,,,,,,,,,,,,,,,,-47.6 ,,5.6 ,,,,,,,,,,,,,,-59.3 ,,,91.9 ,,,,,,,,,,,,,,14.8 ,,,,,,,,,-43.1 ,,,-55.7 ,12.9 ,,,,,,,,,,,,,15.5 ,,,,,,,,,,,,,,,59.8 ,,,58.9 ,,,,,,,,,,,,,,-47.1 ,,,,,,,,,,,,-21.0 ,,,,,,,58.7 ,,,,,,,-47.8 ,,,,,,,,-12.0 ,,,,,,,,,,,,,,,,,52.2 ,,,-28.9 ,,,,,,,,,,,-78.8 ,,,,,,,,,,,,,,,,,,65.7 ,,,,,,,,,-20.5 ,,,,,,,52.5 ,,,,-77.7 ,,,,,,62.5 ,,,,-65.7 ,,,11.5 ,,,,,,,,,,,,,,,,,,,
âÄìcå´,64.8 ,,,,,,,,,,,,10.1 ,,,,,,,,,,,,,,,,-16.2 ,,,,,,,,,,,,,,-15.9 ,,,,,,,,,,,65.1 ,,,,-59.7 ,,,,,,,,,,14.4 ,,10.1 ,,,,-24.2 ,,,,,,,,,,,,,,,,,,7.4 ,,,,,,80.8 ,,,,,,,,,,19.1 ,,,,,,,,-67.7 ,,,,,,,,90.7 ,,,,,,,66.6 ,,,,,,,,64.3 ,,,,,,,-22.8 ,,,,,,,,,,,-47.3 ,,,,,-47.2 ,,,,,,,-13.4 ,,,,,,,,,,,61.5 ,,,,,,,,95.2 ,,,,,,,,,,,,,,66.7 ,,,,,,,-50.4 ,-22.8 ,,,-17.6 ,87.0 ,,,,,,-91.8 ,,,,8.7 ,,,,,,,,,,56.2 ,,,15.4 ,,,,,,,,,12.0 ,,,15.9 ,,,,,-59.7 ,,,51.6 ,,,-60.3 ,,12.4 
èüñîåíéu,,,,,,-25.2 ,,,,,,49.2 ,,,,,,,,,,,-19.6 ,,,,,,,,,,,,,,,69.0 ,,,,,50.2 ,,,,,,,,,-24.6 ,,,,,,,,54.8 ,,,,,,,,,,,,,,70.8 ,,,,,,,,,,,,7.8 ,,,-59.0 ,,,,,,,,,,,,,,,,,-58.8 ,,,,,,,,,,-21.1 ,,,,,,,,,-62.4 ,,,,,,,,,,,,,,,,,,4.5 ,,,,,,,-31.1 ,,,-25.0 ,,,,69.3 ,-48.0 ,,,,,,,,,,,,,,-67.3 ,,,,,,,,,12.3 ,-59.5 ,,,,,,-27.5 ,,,,,,,-52.0 ,-63.0 ,,78.6 ,,,7.9 ,,,,,,,-72.4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
èaêÏìÔîg,,,,,,,,23.0 ,,,,,,,,-16.3 ,,,,,,,,,,,,,,,,,,,-44.4 ,,,,,,,,,-57.1 ,,,,61.7 ,,,,1.5 ,,,,,,,,,,,,,,55.2 ,,,,,,,,,,63.9 ,,,,,,,16.8 ,63.3 ,,,-28.7 ,,,,,,,,,,,,,,,53.9 ,,,-16.3 ,,,,,,,,,,,,,10.8 ,,,,9.2 ,,,,,,,,,,,,,,,,,-45.2 ,,,,,5.9 ,,,-19.0 ,,,,,,,,-17.4 ,,,,,,,,,,,,,,,,11.1 ,-6.7 ,,,,-58.5 ,,,,,,,,,-57.5 ,,,,,,,,,,-9.8 ,,,,,,,,,,56.8 ,-48.6 ,,,,,,,69.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ç≤ÅXñÿéıêl,,,,58.6 ,,,,80.9 ,,,,,,,,,-20.7 ,,,,,,,-22.7 ,,,,,,,,,,,9.2 ,,,,,,,,,,,,4.7 ,,,,,,,,,,,,,11.7 ,,,,,79.3 ,,,,,,,,,,,-17.2 ,,,,,,,,,,-28.5 ,,,,,,-46.6 ,,,,,,,,,,,,-14.6 ,,,,-56.4 ,,,,,,,,,,60.0 ,,,,,,-81.8 ,,,,,,,,,,,,,,,,,,,,63.2 ,-19.8 ,,,,,,,,,,,,,,-25.5 ,,,,,,,,,6.0 ,,,,,62.7 ,,,,-17.2 ,,,,,82.6 ,,,9.2 ,,,,,,70.6 ,,,,51.5 ,,,,1.7 ,,,,13.1 ,,,,,,6.2 ,,,,,,52.0 ,15.8 ,,,,69.5 ,,-42.9 ,78.9 ,,,,,,7.3 ,,,,-19.8 ,,,,,,12.4 ,,,-41.2 ,,-14.4 ,,,,,,,,,,,,,,,,,,
è¨ó—çÑ,,,,,,65.4 ,,,,,,,,,,,,,,,,,,1.4 ,,,,,,,-45.0 ,,,,58.0 ,,,,,,,,,,,,,11.6 ,,,,,,,,-57.3 ,,,,,,,14.3 ,,,,7.4 ,,,,,,,,,,,,,,,,,,,,,-89.5 ,,,-27.0 ,,,,,,,,,5.1 ,,,,,,,,,,,,,,,,,-14.6 ,,,,,-49.1 ,,,,,,,,,,,,-42.6 ,,,,,,,61.2 ,,,,,,,,,,,,,,,,3.8 ,,,,,,,,63.2 ,,,,,,,,,,,13.7 ,,,,,,,,,,,,,-18.2 ,,,,,,,,,,-52.9 ,,,,,,,,14.0 ,,,,,,,,,,13.0 ,,,,,,,61.6 ,,,-48.7 ,,,,,,,,-51.2 ,,,,,,,,,49.9 ,,,,-16.6 ,,,,,-59.4 ,,,,,,,,,
óÈñÿÇΩÇÎÇ§,,,,,,,,-26.1 ,,,,,,,,,,-59.3 ,,,,,-59.9 ,,,,,2.1 ,,,,,,78.0 ,,,,,106.3 ,,,,,,,,,,,27.5 ,,,,,,,,,,,,65.1 ,,,,,,,,,,,75.4 ,,,,,,,,,,,,,-60.9 ,,,,,65.7 ,,,,,,-51.1 ,,,,,-59.5 ,,,,,,,,,,-22.1 ,,,,,,,,,,,,,11.7 ,,,,,,,63.0 ,,,,,,,,53.4 ,,,,,7.8 ,,,,,,,,,,,,,,,,-50.3 ,,,,,,,,,13.9 ,,,11.4 ,,,,,,,,,,73.1 ,,,,,,,,,,,57.4 ,,,-46.9 ,,,,,,,,,-13.2 ,,,,,,,,,,,,,75.2 ,,,,,,,5.4 ,,,,,,-40.7 ,70.6 ,,,,,13.6 ,,,,,,9.6 ,,,,52.8 ,,,,65.8 ,,,,74.6 ,,-56.1 ,,,-4.8 ,
íÜìcâ‘ìﬁ,,,-52.2 ,,,,,,,,,,,,,,70.1 ,,,,,,,,-56.5 ,,,,,,,,,,,,,,,-71.4 ,,,,,,,,,,,,,,,,,,,11.7 ,,,,,,,5.8 ,,,,,,,-26.4 ,,,,-46.3 ,,,,,,,,,,,,,,,,,,-72.2 ,,,,,,,-7.9 ,,,,,,,,,,,,,,,,,-52.1 ,,,,,,,,,,-57.8 ,,,,,,,,,,,,,,,,,,,,,-63.3 ,,,,,,,,,,,,,,,,,,,,,,,,,,59.1 ,,,,,,,-61.8 ,,,,,-64.2 ,,,,,,,,,,-14.4 ,,,,,,,,,,-10.9 ,-22.6 ,,,,,,-42.1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
